Year ,USD/GBP
2000,0.660931
2001,0.694655
2002,0.667223
2003,0.612472
2004,0.54618
2005,0.549998
2006,0.543487
2007,0.499772
2008,0.543966
2009,0.641919
2010,0.647179
2011,0.624141
2012,0.633047
2013,0.639661
2014,0.60773
2015,0.654545
2016,0.740634
2017,0.776977
2018,0.749532
2019,0.783445
2020,0.78
2021,0.727065
2022,0.88120324
